,mean_median_freq,max_median_freq,median_freq_list,id
50,63.613736959251355,82.70676691729324,"[51.68539325842697, 82.70676691729324, 71.60493827160494, 55.37459283387622, 49.67602591792656, 62.43272335844995, 71.81571815718158]",50
51,68.85744048618326,80.5084745762712,"[54.62184873949579, 67.73920406435225, 77.0593445527015, 80.5084745762712, 74.72324723247232, 45.87155963302752, 76.02792862684251, 74.30791646430305]",51
52,69.1039275223805,75.25510204081633,"[66.75938803894299, 68.01007556675063, 72.97605473204105, 75.25510204081633, 74.55621301775149, 65.38049303322616, 65.63706563706563, 64.2570281124498]",52
53,50.246991622532015,50.39787798408488,"[50.080775444264944, 50.39787798408488, 50.246747420367875, 50.262565641410355]",53
54,64.89365864326095,76.27118644067797,"[55.80693815987934, 53.72807017543859, 66.79574056147145, 76.27118644067797, 71.87112763320941, 64.88888888888889]",54
55,68.54386990644936,74.41016333938293,"[65.80645161290322, 59.424326833797586, 72.17573221757321, 69.71153846153845, 74.41016333938293, 69.7350069735007]",55
56,72.82757583925779,77.85336356764928,"[71.42857142857143, 73.58156028368793, 76.52173913043477, 77.85336356764928, 68.37606837606837, 69.20415224913495]",56
57,57.386944873224614,64.65067778936391,"[57.82652043868394, 51.511758118701, 60.957910014513786, 50.13309671694765, 64.65067778936391, 59.241706161137444]",57
58,42.281774126458004,47.23502304147466,"[41.533546325878596, 43.5656836461126, 39.04382470119522, 40.03079291762894, 47.23502304147466]",58
59,55.98167526730565,59.516429014259145,"[55.2584670231729, 56.27931214174049, 54.32595573440644, 54.52821242294927, 59.516429014259145]",59
60,70.84549374700504,74.63823305407465,"[65.04961411245864, 73.45013477088949, 67.5759454432734, 74.63823305407465, 72.11961301671064, 72.23942208462333]",60
61,49.058514803380355,57.24986623863029,"[45.485871812543074, 49.947970863683665, 40.7426508509541, 51.86621425109064, 57.24986623863029]",61
62,76.36930900585405,83.38804990151016,"[74.48275862068967, 74.52725250278087, 79.24203273040482, 73.50689127105666, 66.52360515021459, 82.9145728643216, 83.38804990151016]",62
63,47.25149045081323,50.14970059880239,"[50.14970059880239, 47.908745247148296, 44.612216884008234, 46.33529907329402]",63
64,68.11596227232899,78.76370887337985,"[53.31991951710261, 72.20496894409938, 65.18010291595198, 71.11111111111111, 78.76370887337985]",64
65,71.94123695519247,84.05797101449274,"[59.31417979610751, 84.05797101449274, 66.10800744878956, 80.64516129032258, 69.16764361078546, 75.23739956172388, 69.05829596412556]",65
66,69.67707006758148,75.3998476770754,"[65.60283687943262, 75.3998476770754, 69.13996627318718, 69.23076923076923, 70.63572149344097, 68.3297180043384, 69.4006309148265]",66
67,76.01279491575859,82.31368186874305,"[81.89158016147636, 75.70977917981072, 69.51340615690168, 71.42857142857143, 82.31368186874305, 71.05263157894737, 74.41253263707573, 81.38101109741059, 76.41196013289037]",67
68,73.62115136556832,100.0,"[64.20927467300832, 64.41048034934497, 72.0815752461322, 100.0, 67.40442655935612]",68
69,55.92959505544178,70.506454816286,"[41.37931034482759, 52.92259083728278, 35.82089552238806, 65.36438767843727, 69.58393113342898, 70.506454816286]",69
70,70.15721941394438,81.6542948038176,"[80.98591549295774, 67.78169014084507, 70.57745187901008, 62.73525721455457, 75.80174927113703, 65.32663316582914, 56.394763343403824, 81.6542948038176]",70
71,52.27751357970511,53.46985210466439,"[50.81669691470054, 53.45060893098782, 53.46985210466439, 51.37289636846767]",71
72,57.131551844465456,71.3489409141583,"[59.55334987593052, 51.43721633888048, 50.73280721533258, 71.3489409141583, 55.99300087489064, 58.3864118895966, 52.46913580246913]",72
73,66.90426961537712,74.25933051173527,"[61.74089068825911, 58.8235294117647, 62.11656441717791, 73.30677290836653, 74.25933051173527, 71.17852975495916]",73
74,71.04022745604259,78.3410138248848,"[64.72491909385114, 65.21739130434781, 77.502691065662, 75.02799552071669, 78.3410138248848, 69.00726392251816, 67.46031746031746]",74
75,67.42813770471322,76.03464870067373,"[76.03464870067373, 70.06369426751591, 67.72334293948127, 58.8235294117647, 67.14628297362111, 64.77732793522267]",75
76,72.30828360478864,76.6961651917404,"[66.60973526900085, 69.34731934731936, 72.73877292852626, 76.6961651917404, 76.14942528735632]",76
77,58.682807128343704,71.72643869891576,"[45.34606205250597, 55.0098231827112, 60.08583690987124, 63.113604488078536, 58.87600356824264, 71.72643869891576, 56.62188099808061]",77
78,65.34681505664875,75.98784194528876,"[47.02970297029703, 70.65868263473054, 61.147695202257765, 69.21944035346097, 68.67845993756504, 75.98784194528876, 64.70588235294117]",78
79,66.0796698094691,75.55282555282555,"[61.00217864923747, 64.07942238267148, 75.55282555282555, 63.97306397306398, 66.85236768802228, 70.55503292568204, 60.542797494780785]",79
80,72.56554032649994,77.61966364812419,"[74.07407407407406, 63.65313653136531, 67.72009029345372, 76.47058823529412, 75.85568917668824, 77.61966364812419]",80
81,78.05268946974378,82.6086956521739,"[81.86046511627907, 82.6086956521739, 73.34710743801654, 68.9655172413793, 77.88161993769471, 79.26267281105991, 82.44274809160305]",81
82,75.89916614259879,91.26984126984127,"[65.61085972850678, 91.26984126984127, 69.65761511216057, 68.59592711682744, 87.17105263157896, 73.08970099667773]",82
83,61.680905061834366,75.63694267515925,"[75.63694267515925, 60.53975200583516, 59.54692556634305, 51.0]",83
84,85.64035753745735,110.23622047244095,"[43.47826086956521, 56.03448275862068, 110.23622047244095, 86.95652173913044, 102.44988864142539, 108.10810810810811, 92.21902017291066]",84
85,110.193074191271,200.0,"[87.83783783783784, 200.0, 76.74943566591423, 84.13926499032881, 88.82521489971347, 172.41379310344826, 77.60314341846758, 93.97590361445782]",85
86,70.54546606553785,88.66995073891624,"[85.86525759577279, 88.66995073891624, 61.36363636363637, 74.75622968580716, 64.83790523690772, 77.62096774193549, 59.58132045088567, 51.66846071044134]",86
87,92.71755000064775,99.68520461699894,"[90.12345679012346, 96.17755856966707, 93.75, 84.28720083246618, 92.28187919463087, 99.68520461699894]",87
88,85.33915379783171,94.39528023598818,"[94.39528023598818, 88.0880880880881, 81.59392789373814, 82.7338129496403, 82.64462809917356, 82.57918552036199]",88
89,80.64036505671402,91.83673469387755,"[65.25037936267071, 76.05985037406482, 69.3196405648267, 81.80300500834724, 88.70967741935485, 91.83673469387755, 91.50326797385621]",89
90,70.50145204791659,76.30522088353413,"[67.61006289308176, 64.79859894921191, 73.2919254658385, 76.30522088353413]",90
91,73.2514900517509,84.91620111731844,"[84.91620111731844, 67.19022687609075, 72.10031347962382, 73.3519034354689, 74.26470588235294, 67.68558951965065]",91
92,82.11738298344073,85.71428571428571,"[72.00811359026369, 81.99121522693996, 82.23062381852552, 85.71428571428571, 83.98656215005599, 82.23350253807106, 84.46866485013625, 84.30609597924773]",92
93,81.58859506662814,87.20112517580873,"[87.20112517580873, 75.30864197530863, 85.4978354978355, 81.75355450236967, 78.18181818181817]",93
94,64.248358490261,67.28778467908903,"[64.36420722135009, 61.81818181818181, 60.06006006006007, 64.96062992125985, 66.99928724162508, 67.28778467908903]",94
95,76.03586538829548,85.36585365853658,"[80.22922636103151, 74.38016528925621, 85.36585365853658, 72.70408163265306, 67.5]",95
96,80.62091929860263,85.9691808596918,"[83.5881753312946, 82.28317272053373, 85.9691808596918, 75.3623188405797, 80.05930318754633, 75.47169811320754, 81.61258603736478]",96
97,82.67880036928078,96.92671394799054,"[86.95652173913044, 88.5960926851431, 85.40591271703425, 96.92671394799054, 85.42372881355932, 73.97737162750218, 63.44827586206897, 81.90819081908191, 81.46639511201629]",97
98,66.76484432901087,75.2808988764045,"[75.2808988764045, 72.58064516129032, 47.61904761904762, 70.79646017699115, 67.54716981132076]",98
99,70.92614514770885,102.2840119165839,"[75.31380753138075, 72.79693486590038, 74.62686567164178, 50.63291139240507, 53.364269141531324, 102.2840119165839, 75.47169811320754, 73.46189164370982, 60.38291605301914]",99
100,50.462831734875856,50.91937765205092,"[50.397877984084886, 50.071239568491755, 50.91937765205092]",100
101,90.34560488478941,100.19455252918287,"[80.51948051948052, 97.10550887021475, 91.37489325362937, 82.53358925143954, 100.19455252918287]",101
102,85.7028313497766,101.57618213660244,"[79.93966817496229, 79.42708333333333, 83.8323353293413, 78.81773399014779, 87.37864077669903, 92.5925925925926, 101.57618213660244, 82.05841446453408]",102
103,70.272125503071,76.08695652173913,"[76.08695652173913, 51.89189189189189, 72.34432234432234, 75.54296506137867, 72.03389830508473, 73.73271889400922]",103
104,51.0335620921244,53.246753246753244,"[53.246753246753244, 50.84745762711864, 50.65023956194387, 50.32021957913999, 51.493305870236874, 50.42847725774555, 50.24848150193264]",104
105,97.99639088973333,108.58585858585857,"[107.9136690647482, 92.47967479674797, 92.08972845336481, 108.58585858585857, 94.43099273607749, 92.47842170160295]",105
106,70.28696233134764,74.69342251950948,"[70.63711911357342, 62.5, 73.3173076923077, 74.69342251950948]",106
107,63.90662130793762,73.61963190184049,"[64.30446194225722, 67.54966887417218, 57.71812080536913, 59.92010652463382, 70.35175879396985, 61.96213425129088, 65.37530266343826, 54.09836065573771, 73.61963190184049, 64.16666666666667]",107
108,104.59152525605225,117.71844660194174,"[89.06882591093117, 105.15873015873017, 113.4020618556701, 117.71844660194174, 97.60956175298804]",108
109,84.59281547034152,95.3757225433526,"[75.91623036649214, 72.46376811594203, 89.74358974358974, 89.8550724637681, 77.54010695187166, 95.3757225433526, 85.48009367681499, 93.65994236311239, 81.30081300813008]",109
110,54.990127595688215,70.63711911357342,"[39.94845360824742, 51.63727959697733, 66.66666666666666, 49.865229110512125, 51.18601747815231, 70.63711911357342]",110
111,75.63739039884366,94.73684210526316,"[94.73684210526316, 74.53416149068322, 51.122194513715705, 75.39267015706807, 79.43925233644859, 78.59922178988327]",111
112,79.63834563084902,98.42519685039369,"[71.67235494880546, 79.36507936507937, 73.07692307692307, 75.65217391304347, 98.42519685039369]",112
