,time,signal
6096,6.0962,523.0
6097,6.0972,525.0
6098,6.0982,532.0
6099,6.0992,532.0
6100,6.1002,531.0
6101,6.1012,524.0
6102,6.1022,520.0
6103,6.1032,509.0
6104,6.1042,515.0
6105,6.1052,513.0
6106,6.1062,509.0
6107,6.1072,509.0
6108,6.1082,509.0
6109,6.1092,502.0
6110,6.1102,504.0
6111,6.1112,500.0
6112,6.1122,472.0
6113,6.1132,479.0
6114,6.1142,495.0
6115,6.1152,507.0
6116,6.1162,511.0
6117,6.1172,512.0
6118,6.1182,517.0
6119,6.1192,538.0
6120,6.1202,555.0
6121,6.1212,560.0
6122,6.1222,550.0
6123,6.1232,544.0
6124,6.1242,531.0
6125,6.1252,519.0
6126,6.1262,505.0
6127,6.1272,492.0
6128,6.1282,493.0
6129,6.1292,497.0
6130,6.1302,506.0
6131,6.1312,508.0
6132,6.1322,509.0
6133,6.1332,511.0
6134,6.1342,512.0
6135,6.1352,506.0
6136,6.1362,503.0
6137,6.1372,504.0
6138,6.1382,499.0
6139,6.1392,496.0
6140,6.1402,494.0
6141,6.1412,494.0
6142,6.1422,499.0
6143,6.1432,498.0
6144,6.1442,499.0
6145,6.1452,502.0
6146,6.1462,509.0
6147,6.1472,517.0
6148,6.1482,526.0
6149,6.1492,530.0
6150,6.1502,537.0
6151,6.1512,541.0
6152,6.1522,538.0
6153,6.1532,530.0
6154,6.1542,526.0
6155,6.1552,510.0
6156,6.1562,496.0
6157,6.1572,483.0
6158,6.1582,477.0
6159,6.1592,484.0
6160,6.1602,492.0
6161,6.1612,499.0
6162,6.1622,502.0
6163,6.1632,509.0
6164,6.1642,524.0
6165,6.1652,528.0
6166,6.1662,539.0
6167,6.1672,539.0
6168,6.1682,542.0
6169,6.1692,545.0
6170,6.1702,551.0
6171,6.1712,543.0
6172,6.1722,527.0
6173,6.1732,515.0
6174,6.1742,515.0
6175,6.1752,514.0
6176,6.1762,507.0
6177,6.1772,512.0
6178,6.1782,509.0
6179,6.1792,504.0
6180,6.1802,511.0
6181,6.1812,508.0
6182,6.1822,497.0
6183,6.1832,454.0
6184,6.1842,452.0
6185,6.1852,466.0
6186,6.1862,489.0
6187,6.1872,514.0
6188,6.1882,527.0
6189,6.1892,535.0
6190,6.1902,540.0
6191,6.1912,539.0
6192,6.1922,550.0
6193,6.1932,549.0
6194,6.1942,530.0
6195,6.1952,526.0
6196,6.1962,523.0
6197,6.1972,513.0
6198,6.1982,508.0
6199,6.1992,511.0
6200,6.2002,518.0
6201,6.2012,519.0
6202,6.2022,507.0
6203,6.2032,495.0
6204,6.2042,491.0
6205,6.2052,488.0
6206,6.2062,492.0
6207,6.2072,486.0
6208,6.2082,485.0
6209,6.2092,499.0
6210,6.2103,500.0
6211,6.2113,508.0
6212,6.2123,520.0
6213,6.2133,530.0
6214,6.2143,534.0
6215,6.2153,530.0
6216,6.2163,537.0
6217,6.2173,538.0
6218,6.2183,533.0
6219,6.2193,527.0
6220,6.2203,534.0
6221,6.2213,533.0
6222,6.2223,537.0
6223,6.2233,539.0
6224,6.2243,537.0
6225,6.2253,528.0
6226,6.2263,519.0
6227,6.2273,499.0
6228,6.2283,484.0
6229,6.2293,474.0
6230,6.2303,473.0
6231,6.2313,475.0
6232,6.2323,476.0
6233,6.2333,479.0
6234,6.2343,484.0
6235,6.2353,496.0
6236,6.2363,508.0
6237,6.2373,517.0
6238,6.2383,526.0
6239,6.2393,534.0
6240,6.2403,542.0
6241,6.2413,542.0
6242,6.2423,537.0
6243,6.2433,550.0
6244,6.2443,544.0
6245,6.2453,533.0
6246,6.2463,524.0
6247,6.2473,516.0
6248,6.2483,512.0
6249,6.2493,504.0
6250,6.2503,504.0
6251,6.2513,499.0
6252,6.2523,496.0
6253,6.2533,495.0
6254,6.2543,500.0
6255,6.2553,502.0
6256,6.2563,508.0
6257,6.2573,512.0
6258,6.2583,509.0
6259,6.2593,508.0
6260,6.2603,511.0
6261,6.2613,516.0
6262,6.2623,516.0
6263,6.2633,504.0
6264,6.2643,512.0
6265,6.2653,510.0
6266,6.2663,508.0
6267,6.2673,504.0
6268,6.2683,497.0
6269,6.2693,495.0
6270,6.2703,493.0
6271,6.2713,498.0
6272,6.2723,510.0
6273,6.2733,517.0
6274,6.2743,529.0
6275,6.2753,546.0
6276,6.2763,548.0
6277,6.2773,544.0
6278,6.2783,538.0
6279,6.2793,529.0
6280,6.2803,506.0
6281,6.2813,499.0
6282,6.2823,500.0
6283,6.2833,498.0
6284,6.2843,500.0
6285,6.2853,503.0
6286,6.2863,508.0
6287,6.2873,508.0
6288,6.2883,504.0
6289,6.2893,502.0
6290,6.2903,515.0
6291,6.2913,520.0
6292,6.2923,514.0
6293,6.2933,500.0
6294,6.2943,498.0
6295,6.2953,497.0
6296,6.2963,498.0
6297,6.2973,507.0
6298,6.2983,516.0
6299,6.2993,526.0
6300,6.3003,535.0
6301,6.3013,534.0
6302,6.3023,537.0
6303,6.3033,529.0
6304,6.3043,524.0
6305,6.3053,527.0
6306,6.3063,538.0
6307,6.3073,544.0
6308,6.3083,543.0
6309,6.3093,535.0
6310,6.3103,530.0
6311,6.3113,521.0
6312,6.3123,516.0
6313,6.3133,517.0
6314,6.3143,519.0
6315,6.3153,525.0
6316,6.3163,519.0
6317,6.3173,508.0
6318,6.3183,502.0
6319,6.3193,493.0
6320,6.3203,480.0
